// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A40
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber
60744		10.349561	0.896288	1.868999	-1.676832	-0.754313	0.580997	0.374749	-0.266304	-0.592793	-1.099365	0.127197	-0.001465	0.103496	0.008621	0.018844	0.162779	-0.546583	-0.171367	-0.803358	15.818332	-69.066050	-168.012789						
60745		8.632624	1.452779	1.267923	-1.321904	-1.324180	-1.167506	0.831398	-0.247387	-0.522936	-1.101807	0.131592	-0.003906	0.086348	0.014249	0.012846	0.162750	-0.546509	-0.176321	-0.802341	17.147048	-69.125910	-168.925954						
60746		8.030386	2.281046	1.188227	-0.796997	-1.988216	-1.657102	0.881390	-0.228152	-0.534813	-1.105713	0.115967	0.003662	0.080351	0.022543	0.012074	0.162829	-0.546294	-0.181493	-0.801318	18.518404	-69.165897	-169.852973						
60747		9.314820	2.920462	1.285442	-0.879302	-2.522501	-0.335833	0.521600	-0.058963	-0.595750	-1.105469	0.111572	-0.000488	0.093231	0.028893	0.012958	0.161823	-0.545626	-0.185244	-0.801118	19.688773	-69.095329	-170.786478						
60748		11.626592	2.880166	1.496041	-1.575548	-2.464480	1.898619	0.217258	0.245513	-0.540040	-1.103271	0.109375	0.001953	0.116361	0.028471	0.014849	0.160498	-0.544030	-0.187379	-0.801973	20.440569	-68.866483	-171.458442						
60749		13.249262	2.792614	1.836436	-1.991837	-2.284594	3.511222	0.141101	0.616723	-0.391192	-1.114014	0.100098	-0.008789	0.132603	0.027654	0.017975	0.159899	-0.541141	-0.188501	-0.803782	20.738164	-68.466257	-171.691893						
60750		11.689229	2.557202	2.399224	-1.186009	-1.724962	2.210217	0.084470	0.934819	-0.448225	-1.109375	0.097900	-0.024414	0.117060	0.025300	0.023456	0.159224	-0.536953	-0.189294	-0.806534	20.907495	-67.883799	-171.822094						
60751		10.109531	2.987785	2.567298	-0.370363	-1.936985	0.856459	0.038789	0.724486	-0.478679	-1.104980	0.100098	-0.029053	0.101259	0.029631	0.025312	0.158092	-0.533610	-0.190147	-0.808772	21.187771	-67.407197	-172.101729						
60752		8.997226	3.862166	3.161509	0.868286	-2.353822	0.165640	-0.140499	0.184991	-0.325985	-1.106934	0.091309	-0.021729	0.090064	0.038497	0.031505	0.156593	-0.532729	-0.190293	-0.809609	21.428924	-67.250050	-172.450249						
60753		8.478800	4.061376	3.611047	1.503326	-2.291760	-0.121851	-0.860546	-0.320514	-0.197252	-1.109131	0.091309	-0.019531	0.084770	0.040685	0.036071	0.153209	-0.534575	-0.187574	-0.809674	21.345770	-67.389458	-172.894894						
